,P.S1,P.C1,P.S2,P.C2,F.S1,F.C1,F.S2,F.C2,F.S3,F.C3,T.S4,T.C4,R.S5,R.C5,Rank,Winner
Player 2 Game 104,Clubs,6,Spades,Q,Hearts,2,Spades,K,Spades,J,Diamonds,6,Hearts,A,One Pair,1
Player 1 Game 105,Clubs,A,Diamonds,A,Clubs,3,Hearts,J,Diamonds,10,Diamonds,Q,Spades,7,One Pair,0
Player 2 Game 105,Diamonds,J,Diamonds,7,Clubs,3,Hearts,J,Diamonds,10,Diamonds,Q,Spades,7,Two Pair,1
Player 1 Game 106,Hearts,2,Clubs,4,Diamonds,J,Clubs,A,Diamonds,K,Diamonds,3,Hearts,K,One Pair,0
Player 2 Game 106,Hearts,9,Hearts,A,Diamonds,J,Clubs,A,Diamonds,K,Diamonds,3,Hearts,K,Straight,1
Player 1 Game 107,Spades,4,Clubs,4,Hearts,2,Spades,K,Clubs,Q,Spades,10,Clubs,J,One Pair,0
Player 2 Game 107,Clubs,9,Clubs,2,Hearts,2,Spades,K,Clubs,Q,Spades,10,Clubs,J,Straight,1
Player 1 Game 108,Spades,Q,Diamonds,J,Clubs,4,Clubs,10,Clubs,J,Spades,2,Spades,3,One Pair,1
Player 2 Game 108,Diamonds,4,Clubs,A,Clubs,4,Clubs,10,Clubs,J,Spades,2,Spades,3,One Pair,0
Player 1 Game 109,Diamonds,A,Spades,3,Hearts,4,Spades,2,Diamonds,Q,Hearts,3,Hearts,2,Two Pair,0
Player 2 Game 109,Clubs,3,Spades,4,Hearts,4,Spades,2,Diamonds,Q,Hearts,3,Hearts,2,Two Pair,1
Player 1 Game 110,Hearts,K,Spades,3,Spades,J,Diamonds,K,Hearts,10,Clubs,8,Hearts,2,Straight,1
Player 2 Game 110,Spades,6,Hearts,4,Spades,J,Diamonds,K,Hearts,10,Clubs,8,Hearts,2,High Card,0
Player 1 Game 111,Spades,4,Clubs,Q,Clubs,8,Diamonds,10,Hearts,2,Hearts,9,Spades,5,High Card,0
Player 2 Game 111,Clubs,9,Diamonds,K,Clubs,8,Diamonds,10,Hearts,2,Hearts,9,Spades,5,One Pair,1
Player 1 Game 112,Spades,7,Diamonds,2,Clubs,A,Hearts,A,Clubs,10,Clubs,K,Diamonds,8,One Pair,2
Player 2 Game 112,Diamonds,7,Diamonds,4,Clubs,A,Hearts,A,Clubs,10,Clubs,K,Diamonds,8,One Pair,2
Player 1 Game 113,Diamonds,4,Spades,K,Spades,10,Clubs,10,Spades,6,Diamonds,5,Clubs,6,Two Pair,0
Player 2 Game 113,Clubs,3,Diamonds,A,Spades,10,Clubs,10,Spades,6,Diamonds,5,Clubs,6,Two Pair,1
Player 1 Game 114,Diamonds,Q,Clubs,8,Hearts,5,Clubs,A,Hearts,6,Clubs,10,Spades,3,High Card,0
Player 2 Game 114,Clubs,3,Hearts,A,Hearts,5,Clubs,A,Hearts,6,Clubs,10,Spades,3,Two Pair,1
Player 1 Game 115,Clubs,7,Hearts,A,Clubs,9,Diamonds,J,Diamonds,Q,Spades,3,Hearts,9,One Pair,2
Player 2 Game 115,Clubs,A,Clubs,5,Clubs,9,Diamonds,J,Diamonds,Q,Spades,3,Hearts,9,One Pair,2
Player 1 Game 116,Hearts,Q,Diamonds,K,Spades,7,Hearts,A,Diamonds,9,Clubs,9,Diamonds,7,Two Pair,0
Player 2 Game 116,Hearts,J,Clubs,A,Spades,7,Hearts,A,Diamonds,9,Clubs,9,Diamonds,7,Two Pair,1
Player 1 Game 117,Spades,5,Clubs,K,Spades,2,Diamonds,K,Spades,9,Clubs,8,Diamonds,A,One Pair,1
Player 2 Game 117,Hearts,7,Clubs,2,Spades,2,Diamonds,K,Spades,9,Clubs,8,Diamonds,A,One Pair,0
Player 1 Game 118,Hearts,4,Spades,5,Clubs,2,Diamonds,10,Diamonds,3,Diamonds,5,Spades,A,Straight,1
Player 2 Game 118,Spades,9,Hearts,J,Clubs,2,Diamonds,10,Diamonds,3,Diamonds,5,Spades,A,High Card,0
Player 1 Game 119,Clubs,K,Hearts,4,Spades,5,Hearts,J,Hearts,9,Diamonds,3,Hearts,5,One Pair,0
Player 2 Game 119,Diamonds,A,Diamonds,Q,Spades,5,Hearts,J,Hearts,9,Diamonds,3,Hearts,5,One Pair,1
Player 1 Game 120,Hearts,K,Diamonds,2,Diamonds,J,Hearts,5,Diamonds,3,Spades,J,Spades,4,One Pair,0
Player 2 Game 120,Spades,K,Spades,7,Diamonds,J,Hearts,5,Diamonds,3,Spades,J,Spades,4,One Pair,1
Player 1 Game 121,Hearts,8,Diamonds,9,Spades,9,Spades,5,Diamonds,10,Spades,Q,Spades,A,One Pair,1
Player 2 Game 121,Hearts,2,Diamonds,J,Spades,9,Spades,5,Diamonds,10,Spades,Q,Spades,A,High Card,0
Player 1 Game 122,Clubs,6,Diamonds,K,Spades,K,Clubs,10,Diamonds,2,Diamonds,3,Spades,2,Two Pair,0
Player 2 Game 122,Clubs,A,Hearts,A,Spades,K,Clubs,10,Diamonds,2,Diamonds,3,Spades,2,Two Pair,1
Player 1 Game 123,Spades,8,Clubs,7,Diamonds,8,Hearts,A,Spades,10,Hearts,6,Clubs,A,Straight,1
Player 2 Game 123,Diamonds,5,Clubs,3,Diamonds,8,Hearts,A,Spades,10,Hearts,6,Clubs,A,One Pair,0
Player 1 Game 124,Diamonds,10,Spades,2,Spades,9,Diamonds,2,Clubs,6,Spades,Q,Clubs,10,Two Pair,1
Player 2 Game 124,Clubs,3,Diamonds,K,Spades,9,Diamonds,2,Clubs,6,Spades,Q,Clubs,10,High Card,0
Player 1 Game 125,Hearts,5,Spades,2,Spades,A,Hearts,A,Hearts,7,Clubs,6,Diamonds,3,One Pair,0
Player 2 Game 125,Spades,5,Clubs,7,Spades,A,Hearts,A,Hearts,7,Clubs,6,Diamonds,3,Two Pair,1
Player 1 Game 126,Spades,9,Hearts,Q,Spades,10,Diamonds,K,Hearts,A,Hearts,4,Spades,J,Straight,2
Player 2 Game 126,Clubs,6,Clubs,Q,Spades,10,Diamonds,K,Hearts,A,Hearts,4,Spades,J,Straight,2
Player 1 Game 127,Hearts,A,Clubs,2,Diamonds,K,Spades,Q,Hearts,K,Diamonds,2,Hearts,6,Two Pair,0
Player 2 Game 127,Clubs,8,Diamonds,9,Diamonds,K,Spades,Q,Hearts,K,Diamonds,2,Hearts,6,Straight,1
Player 1 Game 128,Clubs,4,Spades,10,Hearts,6,Spades,2,Hearts,3,Clubs,8,Diamonds,3,One Pair,0
Player 2 Game 128,Diamonds,8,Hearts,8,Hearts,6,Spades,2,Hearts,3,Clubs,8,Diamonds,3,Full House,1
Player 1 Game 129,Clubs,Q,Spades,4,Spades,A,Clubs,K,Hearts,9,Hearts,6,Diamonds,4,One Pair,0
Player 2 Game 129,Diamonds,A,Diamonds,Q,Spades,A,Clubs,K,Hearts,9,Hearts,6,Diamonds,4,One Pair,1
Player 1 Game 130,Hearts,5,Spades,K,Diamonds,K,Hearts,3,Hearts,9,Hearts,A,Diamonds,6,One Pair,1
Player 2 Game 130,Diamonds,J,Spades,6,Diamonds,K,Hearts,3,Hearts,9,Hearts,A,Diamonds,6,One Pair,0
Player 1 Game 131,Diamonds,3,Hearts,3,Diamonds,Q,Spades,6,Hearts,9,Spades,A,Diamonds,J,One Pair,1
Player 2 Game 131,Spades,3,Diamonds,10,Diamonds,Q,Spades,6,Hearts,9,Spades,A,Diamonds,J,High Card,0
Player 1 Game 132,Diamonds,A,Spades,9,Hearts,Q,Clubs,Q,Spades,4,Clubs,3,Spades,A,Two Pair,1
Player 2 Game 132,Hearts,5,Spades,10,Hearts,Q,Clubs,Q,Spades,4,Clubs,3,Spades,A,One Pair,0
Player 1 Game 133,Spades,A,Clubs,J,Clubs,3,Spades,3,Spades,Q,Diamonds,8,Diamonds,A,Two Pair,1
Player 2 Game 133,Hearts,5,Clubs,K,Clubs,3,Spades,3,Spades,Q,Diamonds,8,Diamonds,A,One Pair,0
Player 1 Game 134,Hearts,9,Spades,K,Spades,7,Diamonds,6,Hearts,7,Diamonds,9,Clubs,A,Two Pair,1
Player 2 Game 134,Spades,8,Diamonds,3,Spades,7,Diamonds,6,Hearts,7,Diamonds,9,Clubs,A,One Pair,0
Player 1 Game 135,Hearts,2,Spades,6,Clubs,9,Diamonds,A,Hearts,3,Diamonds,J,Diamonds,7,High Card,2
Player 2 Game 135,Spades,2,Clubs,6,Clubs,9,Diamonds,A,Hearts,3,Diamonds,J,Diamonds,7,High Card,2
Player 1 Game 136,Spades,7,Spades,8,Hearts,J,Hearts,3,Clubs,8,Diamonds,9,Clubs,6,One Pair,0
Player 2 Game 136,Spades,10,Clubs,9,Hearts,J,Hearts,3,Clubs,8,Diamonds,9,Clubs,6,Straight,1
Player 1 Game 137,Spades,4,Diamonds,4,Clubs,5,Clubs,9,Spades,9,Hearts,9,Diamonds,J,Full House,0
Player 2 Game 137,Hearts,J,Clubs,8,Clubs,5,Clubs,9,Spades,9,Hearts,9,Diamonds,J,Full House,1
Player 1 Game 138,Spades,6,Diamonds,5,Clubs,J,Spades,3,Hearts,5,Spades,Q,Clubs,Q,Two Pair,1
Player 2 Game 138,Clubs,K,Clubs,2,Clubs,J,Spades,3,Hearts,5,Spades,Q,Clubs,Q,One Pair,0
Player 1 Game 139,Hearts,5,Diamonds,Q,Clubs,5,Spades,7,Hearts,K,Spades,3,Clubs,9,One Pair,0
Player 2 Game 139,Clubs,10,Spades,9,Clubs,5,Spades,7,Hearts,K,Spades,3,Clubs,9,Straight,1
Player 1 Game 140,Spades,4,Spades,2,Spades,10,Diamonds,2,Spades,K,Spades,J,Diamonds,8,Flush,1
Player 2 Game 140,Spades,8,Diamonds,5,Spades,10,Diamonds,2,Spades,K,Spades,J,Diamonds,8,One Pair,0
Player 1 Game 141,Clubs,7,Spades,6,Hearts,6,Spades,2,Diamonds,9,Spades,8,Clubs,K,One Pair,1
Player 2 Game 141,Clubs,J,Hearts,4,Hearts,6,Spades,2,Diamonds,9,Spades,8,Clubs,K,High Card,0
Player 1 Game 142,Diamonds,Q,Hearts,8,Diamonds,5,Diamonds,3,Spades,6,Hearts,10,Hearts,3,One Pair,0
Player 2 Game 142,Spades,2,Spades,A,Diamonds,5,Diamonds,3,Spades,6,Hearts,10,Hearts,3,One Pair,1
Player 1 Game 143,Clubs,8,Clubs,7,Diamonds,8,Hearts,5,Clubs,2,Hearts,10,Diamonds,10,Straight,1
Player 2 Game 143,Spades,8,Diamonds,Q,Diamonds,8,Hearts,5,Clubs,2,Hearts,10,Diamonds,10,Two Pair,0
Player 1 Game 144,Spades,7,Spades,Q,Hearts,3,Hearts,4,Hearts,7,Hearts,K,Diamonds,9,One Pair,0
Player 2 Game 144,Diamonds,K,Diamonds,8,Hearts,3,Hearts,4,Hearts,7,Hearts,K,Diamonds,9,One Pair,1
Player 1 Game 145,Diamonds,10,Diamonds,9,Diamonds,J,Spades,10,Clubs,6,Clubs,K,Diamonds,K,Two Pair,1
Player 2 Game 145,Diamonds,5,Clubs,A,Diamonds,J,Spades,10,Clubs,6,Clubs,K,Diamonds,K,One Pair,0
Player 1 Game 146,Hearts,5,Diamonds,6,Spades,8,Hearts,A,Diamonds,Q,Hearts,Q,Spades,2,One Pair,0
Player 2 Game 146,Hearts,3,Diamonds,2,Spades,8,Hearts,A,Diamonds,Q,Hearts,Q,Spades,2,Two Pair,1
Player 1 Game 147,Hearts,6,Clubs,6,Clubs,K,Hearts,3,Spades,K,Diamonds,J,Spades,3,Two Pair,0
Player 2 Game 147,Diamonds,K,Spades,8,Clubs,K,Hearts,3,Spades,K,Diamonds,J,Spades,3,Full House,1
Player 1 Game 148,Diamonds,6,Clubs,5,Hearts,K,Spades,3,Spades,5,Spades,K,Hearts,4,Two Pair,0
Player 2 Game 148,Spades,2,Spades,Q,Hearts,K,Spades,3,Spades,5,Spades,K,Hearts,4,Flush,1
Player 1 Game 149,Spades,4,Hearts,9,Spades,5,Hearts,6,Hearts,J,Spades,9,Hearts,Q,One Pair,0
Player 2 Game 149,Spades,K,Hearts,K,Spades,5,Hearts,6,Hearts,J,Spades,9,Hearts,Q,One Pair,1
Player 1 Game 150,Hearts,3,Diamonds,3,Hearts,K,Spades,6,Diamonds,4,Diamonds,5,Clubs,2,One Pair,0
Player 2 Game 150,Spades,Q,Spades,3,Hearts,K,Spades,6,Diamonds,4,Diamonds,5,Clubs,2,Straight,1
Player 1 Game 151,Diamonds,8,Spades,9,Diamonds,A,Clubs,8,Clubs,J,Spades,Q,Clubs,Q,Two Pair,0
Player 2 Game 151,Hearts,A,Hearts,8,Diamonds,A,Clubs,8,Clubs,J,Spades,Q,Clubs,Q,Two Pair,1
Player 1 Game 152,Spades,7,Hearts,3,Spades,5,Hearts,5,Spades,Q,Hearts,4,Diamonds,4,Straight,2
Player 2 Game 152,Diamonds,9,Diamonds,7,Spades,5,Hearts,5,Spades,Q,Hearts,4,Diamonds,4,Straight,2
Player 1 Game 153,Clubs,7,Diamonds,2,Diamonds,6,Spades,4,Clubs,5,Clubs,A,Diamonds,J,High Card,0
Player 2 Game 153,Clubs,6,Hearts,7,Diamonds,6,Spades,4,Clubs,5,Clubs,A,Diamonds,J,One Pair,1
Player 1 Game 154,Clubs,A,Hearts,Q,Spades,9,Spades,6,Clubs,9,Hearts,10,Spades,4,One Pair,1
Player 2 Game 154,Clubs,8,Clubs,J,Spades,9,Spades,6,Clubs,9,Hearts,10,Spades,4,One Pair,0
Player 1 Game 155,Clubs,10,Hearts,3,Clubs,2,Spades,A,Spades,5,Diamonds,9,Diamonds,3,One Pair,1
Player 2 Game 155,Hearts,6,Spades,3,Clubs,2,Spades,A,Spades,5,Diamonds,9,Diamonds,3,One Pair,0
Player 1 Game 156,Hearts,Q,Hearts,K,Spades,9,Spades,2,Clubs,2,Clubs,5,Clubs,8,One Pair,0
Player 2 Game 156,Spades,A,Spades,7,Spades,9,Spades,2,Clubs,2,Clubs,5,Clubs,8,One Pair,1
Player 1 Game 157,Clubs,5,Hearts,K,Hearts,3,Clubs,2,Clubs,3,Hearts,A,Hearts,7,One Pair,1
Player 2 Game 157,Spades,6,Clubs,10,Hearts,3,Clubs,2,Clubs,3,Hearts,A,Hearts,7,One Pair,0
Player 1 Game 158,Hearts,10,Spades,9,Clubs,2,Diamonds,2,Clubs,9,Diamonds,6,Diamonds,3,Two Pair,1
Player 2 Game 158,Hearts,K,Diamonds,4,Clubs,2,Diamonds,2,Clubs,9,Diamonds,6,Diamonds,3,One Pair,0
Player 1 Game 159,Hearts,3,Spades,5,Hearts,5,Diamonds,3,Spades,A,Clubs,9,Hearts,9,Two Pair,1
Player 2 Game 159,Diamonds,10,Spades,4,Hearts,5,Diamonds,3,Spades,A,Clubs,9,Hearts,9,One Pair,0
Player 1 Game 160,Clubs,3,Diamonds,10,Hearts,7,Spades,6,Clubs,4,Hearts,8,Hearts,2,High Card,0
Player 2 Game 160,Diamonds,J,Clubs,Q,Hearts,7,Spades,6,Clubs,4,Hearts,8,Hearts,2,High Card,1
Player 1 Game 161,Spades,6,Diamonds,Q,Clubs,2,Diamonds,5,Hearts,Q,Hearts,6,Diamonds,7,Two Pair,1
Player 2 Game 161,Hearts,7,Hearts,J,Clubs,2,Diamonds,5,Hearts,Q,Hearts,6,Diamonds,7,One Pair,0
Player 1 Game 162,Hearts,5,Hearts,A,Spades,8,Clubs,4,Hearts,6,Spades,J,Diamonds,5,One Pair,1
Player 2 Game 162,Spades,10,Clubs,3,Spades,8,Clubs,4,Hearts,6,Spades,J,Diamonds,5,High Card,0
Player 1 Game 163,Hearts,4,Diamonds,J,Diamonds,K,Spades,J,Hearts,7,Hearts,8,Spades,10,One Pair,1
Player 2 Game 163,Clubs,3,Diamonds,10,Diamonds,K,Spades,J,Hearts,7,Hearts,8,Spades,10,One Pair,0
Player 1 Game 164,Hearts,10,Spades,8,Hearts,Q,Spades,A,Clubs,2,Spades,9,Diamonds,A,One Pair,0
Player 2 Game 164,Diamonds,K,Spades,6,Hearts,Q,Spades,A,Clubs,2,Spades,9,Diamonds,A,One Pair,1
Player 1 Game 165,Spades,Q,Spades,J,Clubs,5,Spades,8,Hearts,9,Spades,2,Hearts,10,Straight,1
Player 2 Game 165,Hearts,Q,Hearts,7,Clubs,5,Spades,8,Hearts,9,Spades,2,Hearts,10,High Card,0
Player 1 Game 166,Clubs,5,Spades,A,Hearts,10,Clubs,7,Diamonds,4,Hearts,6,Clubs,6,One Pair,1
Player 2 Game 166,Diamonds,K,Diamonds,9,Hearts,10,Clubs,7,Diamonds,4,Hearts,6,Clubs,6,One Pair,0
Player 1 Game 167,Spades,3,Clubs,9,Diamonds,5,Hearts,6,Hearts,Q,Clubs,7,Diamonds,Q,One Pair,0
Player 2 Game 167,Spades,7,Spades,10,Diamonds,5,Hearts,6,Hearts,Q,Clubs,7,Diamonds,Q,Two Pair,1
Player 1 Game 168,Spades,Q,Spades,7,Diamonds,5,Diamonds,A,Clubs,7,Diamonds,7,Clubs,8,Three of a Kind,1
Player 2 Game 168,Diamonds,6,Hearts,7,Diamonds,5,Diamonds,A,Clubs,7,Diamonds,7,Clubs,8,Three of a Kind,0
Player 1 Game 169,Clubs,7,Diamonds,J,Spades,2,Clubs,A,Spades,Q,Clubs,K,Hearts,8,High Card,0
Player 2 Game 169,Diamonds,8,Spades,3,Spades,2,Clubs,A,Spades,Q,Clubs,K,Hearts,8,One Pair,1
Player 1 Game 170,Diamonds,8,Clubs,9,Hearts,6,Spades,3,Spades,8,Spades,A,Clubs,7,One Pair,1
Player 2 Game 170,Spades,7,Diamonds,10,Hearts,6,Spades,3,Spades,8,Spades,A,Clubs,7,One Pair,0
Player 1 Game 171,Hearts,10,Hearts,8,Clubs,A,Spades,7,Spades,8,Clubs,Q,Spades,5,One Pair,0
Player 2 Game 171,Diamonds,2,Spades,A,Clubs,A,Spades,7,Spades,8,Clubs,Q,Spades,5,One Pair,1
Player 1 Game 172,Hearts,5,Hearts,K,Clubs,9,Hearts,2,Spades,9,Clubs,3,Spades,4,One Pair,0
Player 2 Game 172,Clubs,7,Clubs,A,Clubs,9,Hearts,2,Spades,9,Clubs,3,Spades,4,One Pair,1
Player 1 Game 173,Diamonds,4,Clubs,10,Hearts,5,Diamonds,10,Diamonds,9,Clubs,8,Spades,9,Straight,1
Player 2 Game 173,Spades,8,Clubs,Q,Hearts,5,Diamonds,10,Diamonds,9,Clubs,8,Spades,9,Two Pair,0
Player 1 Game 174,Spades,8,Clubs,6,Diamonds,6,Spades,J,Clubs,3,Hearts,3,Hearts,4,Two Pair,1
Player 2 Game 174,Spades,10,Clubs,2,Diamonds,6,Spades,J,Clubs,3,Hearts,3,Hearts,4,One Pair,0
Player 1 Game 175,Hearts,3,Clubs,Q,Diamonds,9,Diamonds,3,Spades,2,Spades,Q,Clubs,6,Two Pair,1
Player 2 Game 175,Spades,A,Spades,9,Diamonds,9,Diamonds,3,Spades,2,Spades,Q,Clubs,6,One Pair,0
Player 1 Game 176,Diamonds,4,Hearts,2,Spades,4,Hearts,6,Diamonds,Q,Hearts,8,Spades,A,One Pair,0
Player 2 Game 176,Spades,6,Diamonds,J,Spades,4,Hearts,6,Diamonds,Q,Hearts,8,Spades,A,One Pair,1
Player 1 Game 177,Diamonds,Q,Diamonds,5,Diamonds,10,Clubs,4,Spades,A,Clubs,3,Hearts,9,High Card,1
Player 2 Game 177,Spades,7,Diamonds,2,Diamonds,10,Clubs,4,Spades,A,Clubs,3,Hearts,9,High Card,0
Player 1 Game 178,Hearts,6,Spades,J,Clubs,J,Spades,Q,Spades,5,Hearts,A,Hearts,4,One Pair,1
Player 2 Game 178,Diamonds,K,Hearts,5,Clubs,J,Spades,Q,Spades,5,Hearts,A,Hearts,4,One Pair,0
Player 1 Game 179,Diamonds,5,Hearts,K,Spades,3,Hearts,4,Spades,Q,Hearts,10,Hearts,Q,One Pair,1
Player 2 Game 179,Diamonds,2,Clubs,9,Spades,3,Hearts,4,Spades,Q,Hearts,10,Hearts,Q,One Pair,0
Player 1 Game 180,Spades,6,Hearts,5,Hearts,6,Clubs,3,Hearts,2,Diamonds,3,Clubs,K,Two Pair,1
Player 2 Game 180,Hearts,Q,Hearts,9,Hearts,6,Clubs,3,Hearts,2,Diamonds,3,Clubs,K,One Pair,0
Player 1 Game 181,Diamonds,8,Clubs,8,Hearts,7,Hearts,9,Clubs,5,Clubs,Q,Hearts,Q,Two Pair,1
Player 2 Game 181,Diamonds,6,Clubs,6,Hearts,7,Hearts,9,Clubs,5,Clubs,Q,Hearts,Q,Two Pair,0
Player 1 Game 182,Spades,4,Diamonds,3,Clubs,9,Spades,Q,Hearts,3,Hearts,10,Hearts,8,One Pair,0
Player 2 Game 182,Spades,10,Spades,8,Clubs,9,Spades,Q,Hearts,3,Hearts,10,Hearts,8,Two Pair,1
Player 1 Game 183,Clubs,Q,Diamonds,3,Hearts,10,Clubs,6,Spades,5,Hearts,4,Spades,8,High Card,0
Player 2 Game 183,Clubs,J,Diamonds,K,Hearts,10,Clubs,6,Spades,5,Hearts,4,Spades,8,High Card,1
Player 1 Game 184,Clubs,Q,Clubs,7,Spades,A,Clubs,3,Clubs,4,Hearts,10,Spades,K,High Card,1
Player 2 Game 184,Hearts,9,Diamonds,6,Spades,A,Clubs,3,Clubs,4,Hearts,10,Spades,K,High Card,0
Player 1 Game 185,Diamonds,A,Hearts,A,Hearts,3,Spades,3,Diamonds,4,Diamonds,6,Clubs,5,Two Pair,1
Player 2 Game 185,Spades,6,Hearts,10,Hearts,3,Spades,3,Diamonds,4,Diamonds,6,Clubs,5,Two Pair,0
Player 1 Game 186,Hearts,10,Spades,9,Clubs,7,Hearts,2,Clubs,A,Hearts,Q,Hearts,4,High Card,0
Player 2 Game 186,Diamonds,2,Spades,J,Clubs,7,Hearts,2,Clubs,A,Hearts,Q,Hearts,4,One Pair,1
Player 1 Game 187,Spades,7,Spades,5,Clubs,3,Hearts,A,Spades,2,Diamonds,Q,Hearts,9,High Card,0
Player 2 Game 187,Spades,A,Clubs,10,Clubs,3,Hearts,A,Spades,2,Diamonds,Q,Hearts,9,One Pair,1
Player 1 Game 188,Diamonds,5,Spades,6,Clubs,5,Diamonds,4,Spades,2,Clubs,J,Spades,J,Two Pair,1
Player 2 Game 188,Spades,9,Diamonds,7,Clubs,5,Diamonds,4,Spades,2,Clubs,J,Spades,J,One Pair,0
Player 1 Game 189,Spades,6,Spades,5,Hearts,5,Clubs,4,Diamonds,9,Spades,2,Diamonds,10,One Pair,1
Player 2 Game 189,Diamonds,8,Diamonds,2,Hearts,5,Clubs,4,Diamonds,9,Spades,2,Diamonds,10,One Pair,0
Player 1 Game 190,Hearts,10,Clubs,10,Hearts,4,Hearts,7,Spades,4,Clubs,7,Clubs,9,Two Pair,0
Player 2 Game 190,Hearts,J,Diamonds,4,Hearts,4,Hearts,7,Spades,4,Clubs,7,Clubs,9,Full House,1
Player 1 Game 191,Spades,9,Clubs,8,Spades,2,Hearts,2,Spades,6,Spades,7,Hearts,10,Straight,1
Player 2 Game 191,Clubs,3,Diamonds,3,Spades,2,Hearts,2,Spades,6,Spades,7,Hearts,10,Two Pair,0
Player 1 Game 192,Diamonds,K,Spades,4,Hearts,9,Spades,7,Spades,K,Clubs,A,Spades,10,One Pair,1
Player 2 Game 192,Diamonds,6,Diamonds,9,Hearts,9,Spades,7,Spades,K,Clubs,A,Spades,10,One Pair,0
Player 1 Game 193,Spades,8,Clubs,2,Diamonds,Q,Clubs,A,Hearts,A,Hearts,3,Diamonds,7,One Pair,0
Player 2 Game 193,Spades,2,Clubs,9,Diamonds,Q,Clubs,A,Hearts,A,Hearts,3,Diamonds,7,One Pair,1
Player 1 Game 194,Hearts,2,Hearts,6,Spades,J,Diamonds,A,Clubs,Q,Spades,Q,Spades,7,One Pair,0
Player 2 Game 194,Diamonds,J,Spades,3,Spades,J,Diamonds,A,Clubs,Q,Spades,Q,Spades,7,Straight,1
Player 1 Game 195,Spades,8,Diamonds,8,Spades,5,Diamonds,Q,Clubs,3,Diamonds,10,Diamonds,2,One Pair,1
Player 2 Game 195,Clubs,6,Hearts,3,Spades,5,Diamonds,Q,Clubs,3,Diamonds,10,Diamonds,2,One Pair,0
Player 1 Game 196,Clubs,6,Hearts,8,Diamonds,4,Hearts,2,Clubs,J,Spades,10,Diamonds,7,High Card,0
Player 2 Game 196,Hearts,9,Diamonds,2,Diamonds,4,Hearts,2,Clubs,J,Spades,10,Diamonds,7,One Pair,1
Player 1 Game 197,Clubs,10,Clubs,7,Hearts,4,Hearts,10,Spades,6,Hearts,3,Hearts,2,One Pair,0
Player 2 Game 197,Diamonds,2,Clubs,6,Hearts,4,Hearts,10,Spades,6,Hearts,3,Hearts,2,Two Pair,1
Player 1 Game 198,Hearts,K,Clubs,10,Hearts,10,Clubs,4,Clubs,3,Clubs,Q,Diamonds,4,Two Pair,1
Player 2 Game 198,Spades,8,Diamonds,9,Hearts,10,Clubs,4,Clubs,3,Clubs,Q,Diamonds,4,One Pair,0
Player 1 Game 199,Hearts,5,Diamonds,5,Diamonds,Q,Spades,5,Clubs,A,Spades,A,Hearts,9,Full House,1
Player 2 Game 199,Diamonds,7,Clubs,8,Diamonds,Q,Spades,5,Clubs,A,Spades,A,Hearts,9,One Pair,0
Player 1 Game 200,Spades,4,Diamonds,10,Clubs,J,Hearts,J,Hearts,A,Diamonds,2,Clubs,7,One Pair,0
Player 2 Game 200,Clubs,A,Hearts,6,Clubs,J,Hearts,J,Hearts,A,Diamonds,2,Clubs,7,Two Pair,1
Player 1 Game 201,Spades,Q,Hearts,A,Diamonds,5,Spades,5,Hearts,10,Diamonds,9,Hearts,7,One Pair,1
Player 2 Game 201,Spades,3,Spades,A,Diamonds,5,Spades,5,Hearts,10,Diamonds,9,Hearts,7,One Pair,0
Player 1 Game 202,Diamonds,4,Clubs,7,Hearts,4,Spades,5,Spades,7,Spades,Q,Diamonds,6,Two Pair,0
Player 2 Game 202,Clubs,6,Hearts,7,Hearts,4,Spades,5,Spades,7,Spades,Q,Diamonds,6,Two Pair,1
Player 1 Game 203,Diamonds,4,Spades,6,Hearts,3,Hearts,Q,Diamonds,2,Clubs,5,Hearts,4,One Pair,1
Player 2 Game 203,Diamonds,7,Clubs,10,Hearts,3,Hearts,Q,Diamonds,2,Clubs,5,Hearts,4,High Card,0
Player 1 Game 204,Spades,10,Diamonds,6,Spades,4,Spades,7,Hearts,10,Spades,3,Spades,5,Flush,1
Player 2 Game 204,Clubs,Q,Hearts,3,Spades,4,Spades,7,Hearts,10,Spades,3,Spades,5,One Pair,0
Player 1 Game 205,Diamonds,K,Spades,5,Clubs,K,Spades,Q,Hearts,J,Clubs,2,Hearts,7,One Pair,0
Player 2 Game 205,Hearts,3,Clubs,Q,Clubs,K,Spades,Q,Hearts,J,Clubs,2,Hearts,7,Straight,1
Player 1 Game 206,Spades,Q,Hearts,5,Diamonds,J,Clubs,4,Spades,10,Clubs,9,Hearts,A,High Card,1
Player 2 Game 206,Clubs,3,Spades,8,Diamonds,J,Clubs,4,Spades,10,Clubs,9,Hearts,A,High Card,0
Player 1 Game 207,Hearts,8,Clubs,7,Spades,5,Clubs,3,Diamonds,A,Spades,Q,Clubs,8,One Pair,0
Player 2 Game 207,Diamonds,Q,Spades,J,Spades,5,Clubs,3,Diamonds,A,Spades,Q,Clubs,8,One Pair,1
Player 1 Game 208,Clubs,3,Spades,5,Clubs,5,Hearts,8,Clubs,J,Diamonds,9,Clubs,8,Straight,1
Player 2 Game 208,Spades,8,Spades,K,Clubs,5,Hearts,8,Clubs,J,Diamonds,9,Clubs,8,Three of a Kind,0
Player 1 Game 209,Spades,2,Spades,4,Diamonds,Q,Diamonds,2,Spades,10,Clubs,4,Clubs,2,Full House,1
